Sample	Group	Station	Fraction	DNA	Season	Year	DayNight	Replicates	Shore	Lake	Depth_C	Depth_Q
Sp13.BD.MLB.SN.1.renamed	Sp.BD.MLB.SN	MLB	B	D	Sp	13	N	1	MLB	MLB	S	5
Sp13.BD.MLB.SN.2.renamed	Sp.BD.MLB.SN	MLB	B	D	Sp	13	N	2	MLB	MLB	S	5
Sp13.BD.MM110.DD.1.renamed	Sp.BD.110.DD	MM110	B	D	Sp	13	D	1	Off	MM	D	110
Sp13.BD.MM110.SD.1.renamed	Sp.BD.110.SD	MM110	B	D	Sp	13	D	1	Off	MM	S	5
Sp13.BD.MM110.SD.2.renamed	Sp.BD.110.SD	MM110	B	D	Sp	13	D	2	Off	MM	S	5
Sp13.BD.MM110.SN.1.renamed	Sp.BD.110.SN	MM110	B	D	Sp	13	N	1	Off	MM	S	5
Sp13.BD.MM110.SN.2.renamed	Sp.BD.110.SN	MM110	B	D	Sp	13	N	2	Off	MM	S	5
Sp13.BD.MM15.DD.1.renamed	Sp.BD.15.DD	MM15	B	D	Sp	13	D	1	Near	MM	D	10
Sp13.BD.MM15.SD.1.renamed	Sp.BD.15.SD	MM15	B	D	Sp	13	D	1	Near	MM	S	5
Sp13.BD.MM15.SN.1.renamed	Sp.BD.15.SN	MM15	B	D	Sp	13	N	1	Near	MM	S	5
Sp13.BD.MM15.SN.2.renamed	Sp.BD.15.SN	MM15	B	D	Sp	13	N	2	Near	MM	S	5
Sp13.BcD.MLB.SN.1	Sp.BcD.MLB.SN	MLB	B	cD	Sp	13	N	1	MLB	MLB	S	5
Sp13.BcD.MLB.SN.2	Sp.BcD.MLB.SN	MLB	B	cD	Sp	13	N	2	MLB	MLB	S	5
Sp13.BcD.MM110.DD.1	Sp.BcD.110.DD	MM110	B	cD	Sp	13	D	1	Off	MM	D	110
Sp13.BcD.MM110.DD.2	Sp.BcD.110.DD	MM110	B	cD	Sp	13	D	2	Off	MM	D	110
Sp13.BcD.MM110.SD.1	Sp.BcD.110.SD	MM110	B	cD	Sp	13	D	1	Off	MM	S	5
Sp13.BcD.MM110.SD.2	Sp.BcD.110.SD	MM110	B	cD	Sp	13	D	2	Off	MM	S	5
Sp13.BcD.MM110.SN.1	Sp.BcD.110.SN	MM110	B	cD	Sp	13	N	1	Off	MM	S	5
Sp13.BcD.MM110.SN.2	Sp.BcD.110.SN	MM110	B	cD	Sp	13	N	2	Off	MM	S	5
Sp13.BcD.MM15.DD.1	Sp.BcD.15.DD	MM15	B	cD	Sp	13	D	1	Near	MM	D	10
Sp13.BcD.MM15.DD.2	Sp.BcD.15.DD	MM15	B	cD	Sp	13	D	2	Near	MM	D	10
Sp13.BcD.MM15.SD.1	Sp.BcD.15.SD	MM15	B	cD	Sp	13	D	1	Near	MM	S	5
Sp13.BcD.MM15.SD.2	Sp.BcD.15.SD	MM15	B	cD	Sp	13	D	2	Near	MM	S	5
Sp13.BcD.MM15.SN.1	Sp.BcD.15.SN	MM15	B	cD	Sp	13	N	1	Near	MM	S	5
Sp13.BcD.MM15.SN.2	Sp.BcD.15.SN	MM15	B	cD	Sp	13	N	2	Near	MM	S	5
Sp13.ED.MLB.SN.1.renamed	Sp.ED.MLB.SN	MLB	E	D	Sp	13	N	1	MLB	MLB	S	5
Sp13.ED.MM110.DD.2.renamed	Sp.ED.110.DD	MM110	E	D	Sp	13	D	2	Off	MM	D	110
Sp13.ED.MM110.SD.1.renamed	Sp.ED.110.SD	MM110	E	D	Sp	13	D	1	Off	MM	S	5
Sp13.ED.MM110.SD.2.renamed	Sp.ED.110.SD	MM110	E	D	Sp	13	D	2	Off	MM	S	5
Sp13.ED.MM110.SN.1.renamed	Sp.ED.110.SN	MM110	E	D	Sp	13	N	1	Off	MM	S	5
Sp13.ED.MM15.DD.1.renamed	Sp.ED.15.DD	MM15	E	D	Sp	13	D	1	Near	MM	D	10
Sp13.ED.MM15.DD.2.renamed	Sp.ED.15.DD	MM15	E	D	Sp	13	D	2	Near	MM	D	10
Sp13.ED.MM15.SD.1.renamed	Sp.ED.15.SD	MM15	E	D	Sp	13	D	1	Near	MM	S	5
Sp13.ED.MM15.SD.2.renamed	Sp.ED.15.SD	MM15	E	D	Sp	13	D	2	Near	MM	S	5
Sp13.ED.MM15.SN.2.renamed	Sp.ED.15.SN	MM15	E	D	Sp	13	N	2	Near	MM	S	5
Sp13.EcD.MLB.SN.1	Sp.EcD.MLB.SN	MLB	E	cD	Sp	13	N	1	MLB	MLB	S	5
Sp13.EcD.MLB.SN.2	Sp.EcD.MLB.SN	MLB	E	cD	Sp	13	N	2	MLB	MLB	S	5
Sp13.EcD.MM110.DD.1	Sp.EcD.110.DD	MM110	E	cD	Sp	13	D	1	Off	MM	D	110
Sp13.EcD.MM110.DD.2	Sp.EcD.110.DD	MM110	E	cD	Sp	13	D	2	Off	MM	D	110
Sp13.EcD.MM110.SD.1	Sp.EcD.110.SD	MM110	E	cD	Sp	13	D	1	Off	MM	S	5
Sp13.EcD.MM110.SD.2	Sp.EcD.110.SD	MM110	E	cD	Sp	13	D	2	Off	MM	S	5
Sp13.EcD.MM110.SN.1	Sp.EcD.110.SN	MM110	E	cD	Sp	13	N	1	Off	MM	S	5
Sp13.EcD.MM110.SN.2	Sp.EcD.110.SN	MM110	E	cD	Sp	13	N	2	Off	MM	S	5
Sp13.EcD.MM15.DD.1	Sp.EcD.15.DD	MM15	E	cD	Sp	13	D	1	Near	MM	D	10
Sp13.EcD.MM15.DD.2	Sp.EcD.15.DD	MM15	E	cD	Sp	13	D	2	Near	MM	D	10
Sp13.EcD.MM15.SD.1	Sp.EcD.15.SD	MM15	E	cD	Sp	13	D	1	Near	MM	S	5
Sp13.EcD.MM15.SD.2	Sp.EcD.15.SD	MM15	E	cD	Sp	13	D	2	Near	MM	S	5
Sp13.EcD.MM15.SN.1	Sp.EcD.15.SN	MM15	E	cD	Sp	13	N	1	Near	MM	S	5
Sp13.EcD.MM15.SN.2	Sp.EcD.15.SN	MM15	E	cD	Sp	13	N	2	Near	MM	S	5
Su13.BD.MLB.DD.1.renamed	Su.BD.MLB.DD	MLB	B	D	Su	13	D	1	MLB	MLB	D	8
Su13.BD.MLB.SD.1.renamed	Su.BD.MLB.SD	MLB	B	D	Su	13	D	1	MLB	MLB	S	1
Su13.BD.MM110.DCMD.1.renamed	Su.BD.110.DCMD	MM110	B	D	Su	13	D	1	Off	MM	M	36
Su13.BD.MM110.DCMD.2.renamed	Su.BD.110.DCMD	MM110	B	D	Su	13	D	2	Off	MM	M	36
Su13.BD.MM110.DN.1.renamed	Su.BD.110.DN	MM110	B	D	Su	13	N	1	Off	MM	D	110
Su13.BD.MM110.DN.2.renamed	Su.BD.110.DN	MM110	B	D	Su	13	N	2	Off	MM	D	110
Su13.BD.MM110.SD.1.renamed	Su.BD.110.SD	MM110	B	D	Su	13	D	1	Off	MM	S	5
Su13.BD.MM110.SD.2.renamed	Su.BD.110.SD	MM110	B	D	Su	13	D	2	Off	MM	S	5
Su13.BD.MM110.SN.1.renamed	Su.BD.110.SN	MM110	B	D	Su	13	N	1	Off	MM	S	5
Su13.BD.MM110.SN.2.renamed	Su.BD.110.SN	MM110	B	D	Su	13	N	2	Off	MM	S	5
Su13.BD.MM15.DN.1.renamed	Su.BD.15.DN	MM15	B	D	Su	13	N	1	Near	MM	D	15
Su13.BD.MM15.DN.2.renamed	Su.BD.15.DN	MM15	B	D	Su	13	N	2	Near	MM	D	15
Su13.BD.MM15.SD.1.renamed	Su.BD.15.SD	MM15	B	D	Su	13	D	1	Near	MM	S	5
Su13.BD.MM15.SD.2.renamed	Su.BD.15.SD	MM15	B	D	Su	13	D	2	Near	MM	S	5
Su13.BD.MM15.SN.1.renamed	Su.BD.15.SN	MM15	B	D	Su	13	N	1	Near	MM	S	5
Su13.BD.MM15.SN.2.renamed	Su.BD.15.SN	MM15	B	D	Su	13	N	2	Near	MM	S	5
Su13.BcD.MLB.DD.1	Su.BcD.MLB.DD	MLB	B	cD	Su	13	D	1	MLB	MLB	D	8
Su13.BcD.MLB.SD.1	Su.BcD.MLB.SD	MLB	B	cD	Su	13	D	1	MLB	MLB	S	1
Su13.BcD.MM110.DCMD.1	Su.BcD.110.DCMD	MM110	B	cD	Su	13	D	1	Off	MM	M	36
Su13.BcD.MM110.DCMD.2	Su.BcD.110.DCMD	MM110	B	cD	Su	13	D	2	Off	MM	M	36
Su13.BcD.MM110.DN.1	Su.BcD.110.DN	MM110	B	cD	Su	13	N	1	Off	MM	D	110
Su13.BcD.MM110.DN.2	Su.BcD.110.DN	MM110	B	cD	Su	13	N	2	Off	MM	D	110
Su13.BcD.MM110.SD.1	Su.BcD.110.SD	MM110	B	cD	Su	13	D	1	Off	MM	S	5
Su13.BcD.MM110.SD.2	Su.BcD.110.SD	MM110	B	cD	Su	13	D	2	Off	MM	S	5
Su13.BcD.MM110.SN.1	Su.BcD.110.SN	MM110	B	cD	Su	13	N	1	Off	MM	S	5
Su13.BcD.MM110.SN.2	Su.BcD.110.SN	MM110	B	cD	Su	13	N	2	Off	MM	S	5
Su13.BcD.MM15.DN.1	Su.BcD.15.DN	MM15	B	cD	Su	13	N	1	Near	MM	D	15
Su13.BcD.MM15.DN.2	Su.BcD.15.DN	MM15	B	cD	Su	13	N	2	Near	MM	D	15
Su13.BcD.MM15.SD.1	Su.BcD.15.SD	MM15	B	cD	Su	13	D	1	Near	MM	S	5
Su13.BcD.MM15.SD.2	Su.BcD.15.SD	MM15	B	cD	Su	13	D	2	Near	MM	S	5
Su13.BcD.MM15.SN.1	Su.BcD.15.SN	MM15	B	cD	Su	13	N	1	Near	MM	S	5
Su13.BcD.MM15.SN.2	Su.BcD.15.SN	MM15	B	cD	Su	13	N	2	Near	MM	S	5
Su13.ED.MLB.DD.1.renamed	Su.ED.MLB.DD	MLB	E	D	Su	13	D	1	MLB	MLB	D	8
Su13.ED.MLB.DD.2.renamed	Su.ED.MLB.DD	MLB	E	D	Su	13	D	2	MLB	MLB	D	8
Su13.ED.MLB.SD.1.renamed	Su.ED.MLB.SD	MLB	E	D	Su	13	D	1	MLB	MLB	S	1
Su13.ED.MLB.SD.2.renamed	Su.ED.MLB.SD	MLB	E	D	Su	13	D	2	MLB	MLB	S	1
Su13.ED.MM110.DCMD.1.renamed	Su.ED.110.DCMD	MM110	E	D	Su	13	D	1	Off	MM	M	36
Su13.ED.MM110.DCMD.2.renamed	Su.ED.110.DCMD	MM110	E	D	Su	13	D	2	Off	MM	M	36
Su13.ED.MM110.SD.1.renamed	Su.ED.110.SD	MM110	E	D	Su	13	D	1	Off	MM	S	5
Su13.ED.MM110.SD.2.renamed	Su.ED.110.SD	MM110	E	D	Su	13	D	2	Off	MM	S	5
Su13.ED.MM110.SN.1.renamed	Su.ED.110.SN	MM110	E	D	Su	13	N	1	Off	MM	S	5
Su13.ED.MM110.SN.2.renamed	Su.ED.110.SN	MM110	E	D	Su	13	N	2	Off	MM	S	5
Su13.ED.MM15.DN.1.renamed	Su.ED.15.DN	MM15	E	D	Su	13	N	1	Near	MM	D	15
Su13.ED.MM15.DN.2.renamed	Su.ED.15.DN	MM15	E	D	Su	13	N	2	Near	MM	D	15
Su13.ED.MM15.SD.1.renamed	Su.ED.15.SD	MM15	E	D	Su	13	D	1	Near	MM	S	5
Su13.ED.MM15.SD.2.renamed	Su.ED.15.SD	MM15	E	D	Su	13	D	2	Near	MM	S	5
Su13.ED.MM15.SN.1.renamed	Su.ED.15.SN	MM15	E	D	Su	13	N	1	Near	MM	S	5
Su13.ED.MM15.SN.2.renamed	Su.ED.15.SN	MM15	E	D	Su	13	N	2	Near	MM	S	5
Su13.EcD.MLB.DD.1	Su.EcD.MLB.DD	MLB	E	cD	Su	13	D	1	MLB	MLB	D	8
Su13.EcD.MLB.DD.2	Su.EcD.MLB.DD	MLB	E	cD	Su	13	D	2	MLB	MLB	D	8
Su13.EcD.MLB.SD.1	Su.EcD.MLB.SD	MLB	E	cD	Su	13	D	1	MLB	MLB	S	1
Su13.EcD.MLB.SD.2	Su.EcD.MLB.SD	MLB	E	cD	Su	13	D	2	MLB	MLB	S	1
Su13.EcD.MM110.DCMD.1	Su.EcD.110.DCMD	MM110	E	cD	Su	13	D	1	Off	MM	M	36
Su13.EcD.MM110.DCMD.2	Su.EcD.110.DCMD	MM110	E	cD	Su	13	D	2	Off	MM	M	36
Su13.EcD.MM110.DN.1	Su.EcD.110.DN	MM110	E	cD	Su	13	N	1	Off	MM	D	110
Su13.EcD.MM110.DN.2	Su.EcD.110.DN	MM110	E	cD	Su	13	N	2	Off	MM	D	110
Su13.EcD.MM110.SD.1	Su.EcD.110.SD	MM110	E	cD	Su	13	D	1	Off	MM	S	5
Su13.EcD.MM110.SD.2	Su.EcD.110.SD	MM110	E	cD	Su	13	D	2	Off	MM	S	5
Su13.EcD.MM110.SN.1	Su.EcD.110.SN	MM110	E	cD	Su	13	N	1	Off	MM	S	5
Su13.EcD.MM110.SN.2	Su.EcD.110.SN	MM110	E	cD	Su	13	N	2	Off	MM	S	5
Su13.EcD.MM15.DN.1	Su.EcD.15.DN	MM15	E	cD	Su	13	N	1	Near	MM	D	15
Su13.EcD.MM15.DN.2	Su.EcD.15.DN	MM15	E	cD	Su	13	N	2	Near	MM	D	15
Su13.EcD.MM15.SD.1	Su.EcD.15.SD	MM15	E	cD	Su	13	D	1	Near	MM	S	5
Su13.EcD.MM15.SD.2	Su.EcD.15.SD	MM15	E	cD	Su	13	D	2	Near	MM	S	5
Su13.EcD.MM15.SN.1	Su.EcD.15.SN	MM15	E	cD	Su	13	N	1	Near	MM	S	5
Su13.EcD.MM15.SN.2	Su.EcD.15.SN	MM15	E	cD	Su	13	N	2	Near	MM	S	5
Fa13.BD.MLB.DN.1.renamed	Fa.BD.MLB.DN	MLB	B	D	Fa	13	N	1	MLB	MLB	D	8
Fa13.BD.MLB.SN.1.renamed	Fa.BD.MLB.SN	MLB	B	D	Fa	13	N	1	MLB	MLB	S	2
Fa13.BD.MM110.DN.1.renamed	Fa.BD.110.DN	MM110	B	D	Fa	13	N	1	Off	MM	D	108
Fa13.BD.MM110.DN.2.renamed	Fa.BD.110.DN	MM110	B	D	Fa	13	N	2	Off	MM	D	108
Fa13.BD.MM110.SD.1.renamed	Fa.BD.110.SD	MM110	B	D	Fa	13	D	1	Off	MM	S	5
Fa13.BD.MM110.SD.2.renamed	Fa.BD.110.SD	MM110	B	D	Fa	13	D	2	Off	MM	S	5
Fa13.BD.MM110.SN.1.renamed	Fa.BD.110.SN	MM110	B	D	Fa	13	N	1	Off	MM	S	5
Fa13.BD.MM110.SN.2.renamed	Fa.BD.110.SN	MM110	B	D	Fa	13	N	2	Off	MM	S	5
Fa13.BD.MM15.DN.1.renamed	Fa.BD.15.DN	MM15	B	D	Fa	13	N	1	Near	MM	D	15
Fa13.BD.MM15.DN.2.renamed	Fa.BD.15.DN	MM15	B	D	Fa	13	N	2	Near	MM	D	15
Fa13.BD.MM15.SD.1.renamed	Fa.BD.15.SD	MM15	B	D	Fa	13	D	1	Near	MM	S	5
Fa13.BD.MM15.SD.2.renamed	Fa.BD.15.SD	MM15	B	D	Fa	13	D	2	Near	MM	S	5
Fa13.BD.MM15.SN.1.renamed	Fa.BD.15.SN	MM15	B	D	Fa	13	N	1	Near	MM	S	5
Fa13.BD.MM15.SN.2.renamed	Fa.BD.15.SN	MM15	B	D	Fa	13	N	2	Near	MM	S	5
Fa13.BcD.MLB.DN.1	Fa.BcD.MLB.DN	MLB	B	cD	Fa	13	N	1	MLB	MLB	D	8
Fa13.BcD.MLB.SN.1	Fa.BcD.MLB.SN	MLB	B	cD	Fa	13	N	1	MLB	MLB	S	2
Fa13.BcD.MM110.DN.1	Fa.BcD.110.DN	MM110	B	cD	Fa	13	N	1	Off	MM	D	108
Fa13.BcD.MM110.DN.2	Fa.BcD.110.DN	MM110	B	cD	Fa	13	N	2	Off	MM	D	108
Fa13.BcD.MM110.SD.1	Fa.BcD.110.SD	MM110	B	cD	Fa	13	D	1	Off	MM	S	5
Fa13.BcD.MM110.SD.2	Fa.BcD.110.SD	MM110	B	cD	Fa	13	D	2	Off	MM	S	5
Fa13.BcD.MM110.SN.1	Fa.BcD.110.SN	MM110	B	cD	Fa	13	N	1	Off	MM	S	5
Fa13.BcD.MM110.SN.2	Fa.BcD.110.SN	MM110	B	cD	Fa	13	N	2	Off	MM	S	5
Fa13.BcD.MM15.DN.1	Fa.BcD.15.DN	MM15	B	cD	Fa	13	N	1	Near	MM	D	15
Fa13.BcD.MM15.DN.2	Fa.BcD.15.DN	MM15	B	cD	Fa	13	N	2	Near	MM	D	15
Fa13.BcD.MM15.SD.1	Fa.BcD.15.SD	MM15	B	cD	Fa	13	D	1	Near	MM	S	5
Fa13.BcD.MM15.SD.2	Fa.BcD.15.SD	MM15	B	cD	Fa	13	D	2	Near	MM	S	5
Fa13.BcD.MM15.SN.1	Fa.BcD.15.SN	MM15	B	cD	Fa	13	N	1	Near	MM	S	5
Fa13.BcD.MM15.SN.2	Fa.BcD.15.SN	MM15	B	cD	Fa	13	N	2	Near	MM	S	5
Fa13.ED.MLB.DN.1.renamed	Fa.ED.MLB.DN	MLB	E	D	Fa	13	N	1	MLB	MLB	D	8
Fa13.ED.MLB.DN.2.renamed	Fa.ED.MLB.DN	MLB	E	D	Fa	13	N	2	MLB	MLB	D	8
Fa13.ED.MLB.SN.1.renamed	Fa.ED.MLB.SN	MLB	E	D	Fa	13	N	1	MLB	MLB	S	2
Fa13.ED.MLB.SN.2.renamed	Fa.ED.MLB.SN	MLB	E	D	Fa	13	N	2	MLB	MLB	S	2
Fa13.ED.MM110.DN.1.renamed	Fa.ED.110.DN	MM110	E	D	Fa	13	N	1	Off	MM	D	108
Fa13.ED.MM110.DN.2.renamed	Fa.ED.110.DN	MM110	E	D	Fa	13	N	2	Off	MM	D	108
Fa13.ED.MM110.SD.1.renamed	Fa.ED.110.SD	MM110	E	D	Fa	13	D	1	Off	MM	S	5
Fa13.ED.MM110.SD.2.renamed	Fa.ED.110.SD	MM110	E	D	Fa	13	D	2	Off	MM	S	5
Fa13.ED.MM110.SN.1.renamed	Fa.ED.110.SN	MM110	E	D	Fa	13	N	1	Off	MM	S	5
Fa13.ED.MM110.SN.2.renamed	Fa.ED.110.SN	MM110	E	D	Fa	13	N	2	Off	MM	S	5
Fa13.ED.MM15.DN.1.renamed	Fa.ED.15.DN	MM15	E	D	Fa	13	N	1	Near	MM	D	15
Fa13.ED.MM15.DN.2.renamed	Fa.ED.15.DN	MM15	E	D	Fa	13	N	2	Near	MM	D	15
Fa13.ED.MM15.SD.1.renamed	Fa.ED.15.SD	MM15	E	D	Fa	13	D	1	Near	MM	S	5
Fa13.ED.MM15.SD.2.renamed	Fa.ED.15.SD	MM15	E	D	Fa	13	D	2	Near	MM	S	5
Fa13.ED.MM15.SN.1.renamed	Fa.ED.15.SN	MM15	E	D	Fa	13	N	1	Near	MM	S	5
Fa13.ED.MM15.SN.2.renamed	Fa.ED.15.SN	MM15	E	D	Fa	13	N	2	Near	MM	S	5
Fa13.EcD.MLB.DN.1	Fa.EcD.MLB.DN	MLB	E	cD	Fa	13	N	1	MLB	MLB	D	8
Fa13.EcD.MLB.DN.2	Fa.EcD.MLB.DN	MLB	E	cD	Fa	13	N	2	MLB	MLB	D	8
Fa13.EcD.MLB.SN.2	Fa.EcD.MLB.SN	MLB	E	cD	Fa	13	N	2	MLB	MLB	S	2
Fa13.EcD.MM110.DN.1	Fa.EcD.110.DN	MM110	E	cD	Fa	13	N	1	Off	MM	D	108
Fa13.EcD.MM110.DN.2	Fa.EcD.110.DN	MM110	E	cD	Fa	13	N	2	Off	MM	D	108
Fa13.EcD.MM110.SD.1	Fa.EcD.110.SD	MM110	E	cD	Fa	13	D	1	Off	MM	S	5
Fa13.EcD.MM110.SD.2	Fa.EcD.110.SD	MM110	E	cD	Fa	13	D	2	Off	MM	S	5
Fa13.EcD.MM110.SN.1	Fa.EcD.110.SN	MM110	E	cD	Fa	13	N	1	Off	MM	S	5
Fa13.EcD.MM110.SN.2	Fa.EcD.110.SN	MM110	E	cD	Fa	13	N	2	Off	MM	S	5
Fa13.EcD.MM15.DN.1	Fa.EcD.15.DN	MM15	E	cD	Fa	13	N	1	Near	MM	D	15
Fa13.EcD.MM15.DN.2	Fa.EcD.15.DN	MM15	E	cD	Fa	13	N	2	Near	MM	D	15
Fa13.EcD.MM15.SD.1	Fa.EcD.15.SD	MM15	E	cD	Fa	13	D	1	Near	MM	S	5
Fa13.EcD.MM15.SD.2	Fa.EcD.15.SD	MM15	E	cD	Fa	13	D	2	Near	MM	S	5
Fa13.EcD.MM15.SN.1	Fa.EcD.15.SN	MM15	E	cD	Fa	13	N	1	Near	MM	S	5
Fa13.EcD.MM15.SN.2	Fa.EcD.15.SN	MM15	E	cD	Fa	13	N	2	Near	MM	S	5